Column1,Ticker,Start Date,End Date,Discount threshold %,Premium threshold %,VWAP ORD # hours after open,Long ADR Trades,Short ADR Trades,Number of 0 liquidity trades,Avg. Gross Profit,Average Turn Cost,Avg. Net Profit,Max Net Profit,Min Net Profit,Data Load Method,Speed (s)
8,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,-2,2,3,10,11,0,0.087864454,0,0.087864454,0.448849276,-0.250122056,upfront,3.024
7,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,-2,2,2,10,11,0,0.087659161,0,0.087659161,0.490920394,-0.259946026,upfront,3.047
6,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,-2,2,1,10,11,0,0.07895527,0,0.07895527,0.430880566,-0.200474781,upfront,3.087
4,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,-2,1,2,10,16,0,0.076494511,0,0.076494511,0.490920394,-0.375019915,upfront,3.319
5,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,-2,1,3,10,16,0,0.073253921,0,0.073253921,0.448849276,-0.364726514,upfront,3.384
3,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,-2,1,1,10,16,0,0.070551673,0,0.070551673,0.430880566,-0.320656516,upfront,3.387
17,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,-1,2,3,19,11,0,0.06745998,0,0.06745998,0.448849276,-0.250122056,upfront,3.629
16,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,-1,2,2,19,11,0,0.06650786,0,0.06650786,0.490920394,-0.259946026,upfront,3.756
15,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,-1,2,1,19,11,0,0.061510432,0,0.061510432,0.430880566,-0.200474781,upfront,3.523
13,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,-1,1,2,19,16,0,0.061235734,0,0.061235734,0.490920394,-0.375019915,upfront,3.862
14,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,-1,1,3,19,16,0,0.059521367,0,0.059521367,0.448849276,-0.364726514,upfront,4.055
12,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,-1,1,1,19,16,0,0.05775988,0,0.05775988,0.430880566,-0.320656516,upfront,3.791
26,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,0,2,3,34,11,0,0.049549709,0,0.049549709,0.448849276,-0.250122056,upfront,4.487
25,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,0,2,2,34,11,0,0.048579251,0,0.048579251,0.490920394,-0.259946026,upfront,4.357
22,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,0,1,2,34,16,0,0.046681624,0,0.046681624,0.490920394,-0.375019915,upfront,4.757
23,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,0,1,3,34,16,0,0.045783706,0,0.045783706,0.448849276,-0.364726514,upfront,4.993
24,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,0,2,1,34,11,0,0.043852424,0,0.043852424,0.430880566,-0.200474781,upfront,4.378
21,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,0,1,1,34,16,0,0.042992838,0,0.042992838,0.430880566,-0.320656516,upfront,4.638
1,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,-2,0,2,10,28,0,0.036402572,0,0.036402572,0.490920394,-0.375019915,upfront,3.965
2,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,-2,0,3,10,28,0,0.032757419,0,0.032757419,0.448849276,-0.364726514,upfront,4.095
10,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,-1,0,2,19,28,0,0.032716833,0,0.032716833,0.490920394,-0.375019915,upfront,4.536
11,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,-1,0,3,19,28,0,0.030285698,0,0.030285698,0.448849276,-0.364726514,upfront,4.591
19,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,0,0,2,34,28,0,0.027879381,0,0.027879381,0.490920394,-0.375019915,upfront,5.501
0,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,-2,0,1,10,28,0,0.026906021,0,0.026906021,0.430880566,-0.320656516,upfront,3.958
20,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,0,0,3,34,28,0,0.026280085,0,0.026280085,0.448849276,-0.364726514,upfront,5.698
9,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,-1,0,1,19,28,0,0.025737896,0,0.025737896,0.430880566,-0.320656516,upfront,4.479
18,SDRL US Equity,2015-02-23 00:00:00-05:00,2015-06-03 00:00:00-04:00,0,0,1,34,28,0,0.021576246,0,0.021576246,0.430880566,-0.320656516,upfront,5.416
